X,Y
-100,-150.00
-99,-148.50
-98,-147.00
-97,-145.50
-96,-144.00
-95,-142.50
-94,-141.00
-93,-139.50
-92,-138.00
-91,-136.50
-90,-135.00
-89,-133.50
-88,-132.00
-87,-130.50
-86,-129.00
-85,-127.50
-84,-126.00
-83,-124.50
-82,-123.00
-81,-121.50
-80,-120.00
-79,-118.50
-78,-117.00
-77,-115.50
-76,-114.00
-75,-112.50
-74,-111.00
-73,-109.50
-72,-108.00
-71,-106.50
-70,-105.00
-69,-103.50
-68,-102.00
-67,-100.50
-66,-99.00
-65,-97.50
-64,-96.00
-63,-94.50
-62,-93.00
-61,-91.50
-60,-90.00
-59,-88.50
-58,-87.00
-57,-85.50
-56,-84.00
-55,-82.50
-54,-81.00
-53,-79.50
-52,-78.00
-51,-76.50
-50,-75.00
-49,-73.50
-48,-72.00
-47,-70.50
-46,-69.00
-45,-67.50
-44,-66.00
-43,-64.50
-42,-63.00
-41,-61.50
-40,-60.00
-39,-58.50
-38,-57.00
-37,-55.50
-36,-54.00
-35,-52.50
-34,-51.00
-33,-49.50
-32,-48.00
-31,-46.50
-30,-45.00
-29,-43.50
-28,-42.00
-27,-40.50
-26,-39.00
-25,-37.50
-24,-36.00
-23,-34.50
-22,-33.00
-21,-31.50
-20,-30.00
-19,-28.50
-18,-27.00
-17,-25.50
-16,-24.00
-15,-22.50
-14,-21.00
-13,-19.50
-12,-18.00
-11,-16.50
-10,-15.00
-9,-13.50
-8,-12.00
-7,-10.50
-6,-9.00
-5,-7.50
-4,-6.00
-3,-4.50
-2,-3.00
-1,-1.50
0,0.00
1,1.50
2,3.00
3,4.50
4,6.00
5,7.50
6,9.00
7,10.50
8,12.00
9,13.50
10,15.00
11,16.50
12,18.00
13,19.50
14,21.00
15,22.50
16,24.00
17,25.50
18,27.00
19,28.50
20,30.00
21,31.50
22,33.00
23,34.50
24,36.00
25,37.50
26,39.00
27,40.50
28,42.00
29,43.50
30,45.00
31,46.50
32,48.00
33,49.50
34,51.00
35,52.50
36,54.00
37,55.50
38,57.00
39,58.50
40,60.00
41,61.50
42,63.00
43,64.50
44,66.00
45,67.50
46,69.00
47,70.50
48,72.00
49,73.50
50,75.00
51,76.50
52,78.00
53,79.50
54,81.00
55,82.50
56,84.00
57,85.50
58,87.00
59,88.50
60,90.00
61,91.50
62,93.00
63,94.50
64,96.00
65,97.50
66,99.00
67,100.50
68,102.00
69,103.50
70,105.00
71,106.50
72,108.00
73,109.50
74,111.00
75,112.50
76,114.00
77,115.50
78,117.00
79,118.50
80,120.00
81,121.50
82,123.00
83,124.50
84,126.00
85,127.50
86,129.00
87,130.50
88,132.00
89,133.50
90,135.00
91,136.50
92,138.00
93,139.50
94,141.00
95,142.50
96,144.00
97,145.50
98,147.00
99,148.50
100,150.00